Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Actual Date of Completion (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),MAR26 progress (%),Sector
299,702764,24/7 water supply under AMRUT for Davanagere,(Ministry of Housing & Urban Affairs),Karnataka,11/2016,01/2018,,03/2023,03/2026,174.96,174.96,93.18,65.0,Waste & Water
300,702793,Indore Water Supply Infrastructure Project,(Ministry of Housing & Urban Affairs),Madhya Pradesh,12/2016,11/2017,,03/2023,03/2026,287.17,287.17,252.5,99.0,Waste & Water
301,702798,Jabalpur Sewerage Management and Treatment Infrastructure Project,(Ministry of Housing & Urban Affairs),Madhya Pradesh,10/2018,12/2017,,03/2023,03/2026,362.31,362.31,324.79,96.0,Waste & Water
302,702808,Satna Sewerage Management and Treatment Infrastructure Project,(Ministry of Housing & Urban Affairs),Madhya Pradesh,11/2015,12/2016,,03/2024,03/2026,191.56,215.89,192.79,91.0,Waste & Water
303,702810,Singrauli Sewerage Management and Treatment Infrastructure Project,(Ministry of Housing & Urban Affairs),Madhya Pradesh,05/2016,11/2017,,03/2023,03/2026,402.01,438.1,357.68,90.0,Waste & Water
304,702833,Kalyan-Dombivali Water Supply Infrastructure Project,(Ministry of Housing & Urban Affairs),Maharashtra,07/2016,09/2019,,10/2023,06/2026,194.2,194.2,136.56,75.0,Waste & Water
305,702840,Mira-Bhayandar Water Supply Infrastructure Project,(Ministry of Housing & Urban Affairs),Maharashtra,11/2016,08/2018,,03/2023,03/2026,204.55,204.55,186.13,99.0,Waste & Water
306,702851,Pune Water Supply Infrastructure Project,(Ministry of Housing & Urban Affairs),Maharashtra,03/2017,07/2017,,03/2023,03/2026,235.95,235.95,220.77,95.0,Waste & Water
307,702854,Solapur Sewerage Management Infrastructure Project,(Ministry of Housing & Urban Affairs),Maharashtra,03/2017,04/2018,,03/2023,03/2026,180.24,180.24,172.22,98.0,Waste & Water
308,703021,Jalandhar Water Supply Infrastructure Project,(Ministry of Housing & Urban Affairs),Punjab,11/2016,08/2020,,08/2023,03/2026,258.53,266.64,161.02,58.0,Waste & Water
309,703057,Patiala Water Supply Infrastructure Part-2 Project,(Ministry of Housing & Urban Affairs),Punjab,11/2016,08/2020,,10/2023,03/2026,287.0,287.0,213.64,99.0,Waste & Water
310,702949,Jhansi Water Supply Infrastructure Phase-II Project,(Ministry of Housing & Urban Affairs),Uttar Pradesh,03/2017,06/2019,,07/2023,03/2026,561.74,561.74,485.91,93.0,Waste & Water
311,617280,"Construction of Basement + Ground Floor+ 10 Storeyed building for State of the Art Director General, GSI Building at plot No.GN-40, Sector-V, Salt Lake, Kolkata",(Central Public Works Department [CPWD]),West Bengal,04/2019,02/2020,,08/2026,-,255.37,255.37,96.26,53.0,Construction
312,400426,Expansion of Malanjkhand Copper Project,(Hindustan Copper Limited [HCL]),Madhya Pradesh,09/2011,04/2015,,04/2020,04/2026,1856.36,1856.36,959.13,83.0,Metals & Mining
313,400141,Expansion of Alumina Refinery Plant with addition of 5th Stream having capacity enhancement of 1.0 Million Tonee Per Annum,(National Aluminium Company Limited [NALCO]),Odisha,04/2017,04/2017,,12/2022,06/2026,4103.0,5677.4,4640.29,82.0,Metals & Mining
314,400299,Pottangi Bauxite Mines Project,(National Aluminium Company Limited [NALCO]),Odisha,05/2018,05/2018,,03/2025,05/2026,1381.0,1960.77,769.97,51.0,Metals & Mining
315,709830,CONVERSION OF FLAT BOTTOM SETTLERS AND WASHERS WITH A SINGLE TRAIN OF HRDS AND DCWS IN STREAMS 1 AND,(Ministry of Mines),Odisha,,04/2017,,11/2026,-,355.0,581.0,163.55,12.0,Metals & Mining
316,709831,SOURCING OF BAUXITE ARRANGEMENT FOR 5TH STREAM ALUMINA REFINERY FROM SOUTH BLOCK MINING LEASE OF PANCHPATMAILI MINES,(National Aluminium Company Limited [NALCO]),Odisha,11/2017,11/2019,,05/2025,06/2026,483.0,483.0,432.66,91.0,Metals & Mining
317,709832,25.5 MW WIND POWER PROJECT AT KAYATHAR IN TAMILNADU,(National Aluminium Company Limited [NALCO]),Tamil Nadu,09/2017,12/2017,,03/2025,03/2026,166.0,166.0,135.0,66.0,Metals & Mining
318,612885,Construction and Developement of National Institute of Technology Meghalaya Permanent Campus at Sohra,"(National Institute of Technology, Meghalaya)",,09/2009,09/2014,,03/2022,10/2026,494.52,429.7,364.48,92.0,Education
319,613008,Construction of Permanent Campus of Central Tribal University of Andhra Pradesh Phase-1,(Central Tribal University of Andhra Pradesh),Andhra Pradesh,09/2019,12/2023,,06/2027,-,305.0,305.0,62.71,41.0,Education
320,612898,Construction of Permanent Campus of National Institute of Technology Arunachal Pradesh,"(National Institute of Technology, Arunachal Pradesh)",Arunachal Pradesh,09/2009,03/2013,,08/2026,08/2024,592.61,592.61,550.61,80.0,Education
321,606112,Tezpur University Projects,(Tezpur University),Assam,05/2019,06/2021,,11/2023,12/2025,153.71,153.71,137.84,97.0,Education
322,606013,Additional Campus of NITPatna,(NIT Patna),Bihar,07/2022,08/2022,,07/2024,01/2026,499.21,499.21,449.39,98.0,Education
323,617877,Phase B of Construction of Permanent Campus of IIT Bhilai,"(Indian Institute of Technology, Bhilai)",Chhattisgarh,05/2025,01/2026,,10/2028,-,1188.97,1188.97,0.0,0.0,Education
324,612851,"Phase 1B - Construction of Academic Block, Hostel, Residential Tower, Directors Residence and External Development works at National Institute of Technology, Delhi Campus on Engineering, Procurement and Construction basis",(National Institute of Technology Delhi),Delhi,09/2009,11/2022,,09/2025,01/2026,333.49,336.42,311.65,99.0,Education
325,616886,Delhi University Eastern Campus at Surajmal Vihar,(Delhi University),Delhi,09/2024,03/2025,,10/2026,-,373.0,373.0,27.63,10.0,Education
326,612916,"Construction of permanent campus of Central University of Gujarat at Village kundhela, Dist. Vadodara, Gujarat.",(Central University of Gujarat),Gujarat,12/2020,02/2021,,03/2025,03/2026,490.63,490.63,323.98,84.0,Education
327,602099,Establishment of Permanent campus Phase 1 of IIM Sirmaur,"(Indian Institute of Management, Sirmaur)",Himachal Pradesh,09/2018,08/2020,,10/2023,04/2026,392.51,454.78,332.11,96.0,Education
328,612128,Hostel blocks & dining hall block,"(Indian Institute of Technology, Mandi)",Himachal Pradesh,03/2023,03/2024,,03/2026,03/2026,166.66,166.66,116.18,80.0,Education
329,612894,"Construction of Permanent Campus of Central University of Himachal Pradesh at Dehra, District - Kangra, [H.P.] on Engineering. Procurement and Construction [EPC Mode 1] Basis.","(Central University, Himachal Pradesh)",Himachal Pradesh,03/2021,08/2022,,11/2024,03/2026,251.98,300.45,223.21,85.0,Education
330,602098,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K","(Indian Institute of Management, Jammu)",Jammu and Kashmir,03/2019,10/2020,,06/2023,11/2025,424.93,500.91,484.52,96.0,Education
331,606431,CONSTRUCTION OF PERMANENT CAMPUS FOR IIT PALAKKAD UNDER PHASE 1A,(INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD),Kerala,07/2017,03/2020,,06/2022,06/2026,1006.45,1217.4,672.46,83.0,Education
332,617878,Phase B of Construction of Permanent Campus of IIT Palakkad,(INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD),Kerala,05/2025,01/2026,,10/2028,-,1527.0,1527.0,9.8,0.0,Education
333,611957,"Phase III A works at IIT Indore [03 Hostels, 01 Studio Apartment, 01 Housing, Heavy & Sophisticated lab complex, Academic POD and Infrastructure for center of excellence]","(Indian Institute of Technology, Indore)",Madhya Pradesh,12/2023,04/2024,,02/2027,-,496.28,496.28,56.35,52.0,Education
334,612876,"Construction of Permanent Campus for NIT Mizoram at Lengpui, Aizawl",(NIT Mizoram),Mizoram,09/2009,06/2014,,12/2029,03/2022,474.23,474.23,167.55,4.0,Education
335,613013,Establishment of NIT Nagaland,(NIT Nagaland),Nagaland,09/2009,12/2014,,12/2025,-,275.63,275.63,262.2,98.0,Education
336,610315,IISER BERHAMPUR,"(Indian Institutes of Science Education and Research, Behrampur)",Odisha,10/2018,09/2019,,03/2021,06/2026,1229.32,843.09,856.51,98.0,Education
337,619033,"1000 seater Boys hostel, 500 seater Girls hostel, 1.5 MLD Sewage Treatment Plant and Faculty Residence - 72 nos. Flats",(NIT Rourkela),Odisha,09/2023,01/2024,,06/2026,-,198.97,198.97,39.24,36.0,Education
338,612877,Establishment of NIT Puducherry Permanent Campus [Phase-I and Phase-II],"(National Institute of Technology, Puducherry)",Puducherry,09/2009,07/2013,,12/2024,05/2026,618.34,544.34,531.44,98.0,Education
339,605292,"Construction of Permanent Campus of Indian Institute of Management [IIM] Amritsar, Punjab, Phase-I","(Indian intitue of Management, Amritsar)",Punjab,10/2019,07/2020,,06/2023,09/2026,348.31,348.31,290.39,91.0,Education
340,617221,"Construction of Girls Hostel 400 seater, Boys Hostel 600 seater, Academic Block, International Hostel 100 seater, VC Residence and Purchase of Equipment",(Central University of Punjab),Punjab,08/2024,04/2025,,10/2027,-,210.99,210.99,58.42,29.0,Education
341,609736,"Construction of Sikkim University Campus Phase-I Package-II at Yangang, South Sikkim",(Sikkim University),Sikkim,08/2020,01/2022,,01/2025,03/2026,314.06,314.06,287.39,90.0,Education
342,612883,Establishment of Permanent Campus of NIT SIkkim at Khamdong-Gangtok District,(NIT Sikkim),Sikkim,02/2024,03/2024,,02/2028,12/2026,685.76,610.76,171.56,27.0,Education
343,609996,Construction of Precast housing and hostels at IIT Hyderabad,"(Indian Institute of Technology, Hyderabad)",Telangana,09/2022,11/2022,,10/2024,01/2026,262.0,262.0,203.94,85.0,Education
344,606479,Banaras Hindu University [ Kayakalp of Institute of Medical Sciences],(Banaras Hindu University),Uttar Pradesh,06/2020,06/2020,,09/2022,03/2026,246.0,246.0,200.11,98.0,Education
345,611963,"Construction & Development of Infrastructural Facilities in the main campus of NIT Uttarakhand at Sumari, Pauri Garhwal",(National Institute of Technology Uttarakhand),Uttarakhand,06/2020,04/2024,,09/2027,-,650.85,650.85,335.5,47.0,Education
346,609019,"HEFA projects on development of student hostels, playgrounds, departmental buildings, class room complex and other campus facilities in IIT Kharagpur","(Indian Institute of Technology, Kharagpur)",West Bengal,06/2018,04/2019,,03/2023,03/2026,500.0,442.0,403.85,93.0,Education
347,400081,"National Sports University [NSU], Imphal [Manipur]",(Department of Sports & Youth Affairs),Manipur,,01/2022,,08/2024,08/2026,906.47,611.74,571.72,96.0,Education
348,616235,Construction of Aviation Fuel farm Facilities at Bhogapuram Airport,(Ministry of Petroleum & Natural Gas),Andhra Pradesh,08/2024,08/2024,,03/2026,03/2026,240.0,240.0,147.75,95.0,Energy Storage
349,709754,"Construction of LPG Facilities at Kamardanga, Assam",(Hindustan Petroleum Corporation Limited),Assam,03/2023,03/2023,,07/2027,07/2027,156.36,156.36,87.79,67.0,Energy Storage
350,709755,"Setting up of new rail fed POL facility at Kamardanga, Assam",(Hindustan Petroleum Corporation Limited [HPCL]),Assam,03/2023,03/2023,,07/2027,07/2027,384.04,384.04,190.47,76.0,Energy Storage
351,617839,Capacity Augmentation of Kandla LPG Import Terminal [KLIT] from 0.6 MMTPA to 2.5 MMTPA,(Ministry of Petroleum & Natural Gas),Gujarat,05/2023,05/2023,,07/2026,07/2026,356.86,304.4,112.61,63.0,Energy Storage
352,604833,"Andheri Residential Towers, Mumbai",(Ministry of Petroleum & Natural Gas),Maharashtra,06/2017,06/2017,,05/2025,06/2026,281.35,389.67,254.32,69.0,Energy Storage
353,617829,LPG Bottling Plant at Mualkhang,(Ministry of Petroleum & Natural Gas),Mizoram,07/2024,07/2024,,10/2028,11/2027,225.71,225.71,18.59,28.0,Energy Storage
354,701343,Srikakulam Angul Gas Pipeline Project,(Ministry of Petroleum & Natural Gas),"Multi-States (Andhra Pradesh, Odisha)",09/2019,09/2019,,07/2022,06/2026,2658.34,2810.0,2300.5,96.0,Energy Storage
355,701349,Paradip-Numaligarh Crude Oil Pipeline [PNCPL] & Crude Oil Import Terminal [COIT] at Paradip,(Ministry of Petroleum & Natural Gas),"Multi-States (Assam, Bihar, Jharkhand, Odisha, West Bengal)",01/2019,01/2019,,07/2024,06/2026,10228.0,11407.0,10626.49,91.0,Energy Storage
356,400078,New Mundra Panipat Crude Oil Pipeline,(Ministry of Petroleum & Natural Gas),"Multi-States (Gujarat, Haryana, Rajasthan)",12/2021,12/2021,,12/2024,06/2026,9028.0,9028.0,7343.81,90.0,Energy Storage
357,400012,Kandla Gorakhpur LPG Pipeline,(Ministry of Petroleum & Natural Gas),"Multi-States (Gujarat, Madhya Pradesh, Uttar Pradesh)",12/2018,12/2018,,12/2021,03/2026,10088.0,10088.0,8130.19,94.0,Energy Storage
358,400301,Multi Product Pipeline from Irugur to Devangonthi,"(Department of Water Resources, River Development & GR)","Multi-States (Karnataka, Tamil Nadu)",11/2012,11/2012,,02/2017,09/2026,678.0,1732.0,994.21,80.0,Energy Storage
359,701263,Rajasthan Refinery Project,(MinistryofPetroleumNaturalGas),Rajasthan,10/2017,10/2017,,10/2022,03/2026,43129.0,79459.0,66552.88,91.0,Energy Storage
360,709759,"Petrochemical evacuation marketing terminal at Barmer, Rajasthan",(Hindustan Petroleum Corporation Limited [HPCL]),Rajasthan,12/2023,12/2023,,12/2026,12/2026,461.05,461.05,188.01,81.0,Energy Storage
361,400043,Laying of POL Pipelines in Common Corridor for proposed grass root terminal at Vallur [Chennai],(Ministry of Petroleum & Natural Gas),Tamil Nadu,01/2022,01/2022,,05/2026,05/2026,829.0,829.0,335.37,74.0,Energy Storage
362,400077,"Grass root POL Terminal at Vallur, Chennai",(Indian Oil Corporation Limited [IOCL]),Tamil Nadu,01/2022,01/2022,,12/2024,03/2026,827.0,887.71,647.01,93.0,Energy Storage
363,400035,"Grass Root Rail-fed Depot at Sekerkote, Agartala as resitement of existing Dharmanagar Depot",(Indian Oil Corporation Limited [IOCL]),Tripura,06/2022,06/2022,,09/2025,06/2026,656.0,656.0,509.07,96.0,Energy Storage
364,604852,"Grass-root Terminal at Mirzapur, Uttar Pradesh",(Ministry of Petroleum & Natural Gas),Uttar Pradesh,09/2022,09/2022,,11/2026,11/2026,980.45,980.45,268.4,68.0,Energy Storage
365,400120,KG-DWN-98/2 Cluster - II Development Project - NELP Block,(Oil and Natural Gas Corporation Limited [ONGC]),Andhra Pradesh,03/2016,03/2016,,06/2020,06/2026,34012.0,34012.0,32765.11,96.0,Oil & Gas
366,619226,Provision of four bitumen tanks with capacity of 5 TMT each at Visakh Refinery,(Ministry of Petroleum and Natural Gas),Andhra Pradesh,09/2025,09/2025,,03/2028,-,258.34,258.34,0.65,7.0,Oil & Gas
367,709752,HP-COAT [Crude to Olefins and Aromatics Technology] demo unit at Visakh Refinery,(Hindustan Petroleum Corporation Limited),Andhra Pradesh,09/2021,09/2021,,06/2024,03/2026,160.0,220.0,113.71,90.0,Oil & Gas
368,709766,"City Gas Distribution Project at Kurnool, Guntur & Prakasam Districts",(MinistryofPetroleumNaturalGas),Andhra Pradesh,03/2022,03/2022,,03/2030,03/2030,1420.0,1420.0,170.54,6.0,Oil & Gas
369,604791,Numaligarh Refinery Expansion Project,(Ministry of Petroleum & Natural Gas),Assam,07/2020,07/2020,,07/2024,09/2026,12366.0,22494.0,18586.83,82.0,Oil & Gas
370,604863,Development of Surface Facilities for production and evacuation of Crude Oil and Natural Gas from Nadua and East Khagorija,(Ministry of Petroleum & Natural Gas),Assam,01/2018,01/2018,,02/2020,06/2026,682.9,726.93,597.74,94.0,Oil & Gas
371,607701,"Guwahati Refinery Expansion [1.0 to 1.2 MMTPA] along with installation of CRU, Guwahati Refinery",(Ministry of Petroleum & Natural Gas),Assam,05/2021,05/2021,,10/2023,05/2026,412.3,577.0,474.39,91.0,Oil & Gas
372,616858,"Construction of Field Gas Gathering Station at Baghjan area for collection, processing & transportation of natural Gas to be produced from Baghjan Field",(Ministry of Petroleum & Natural Gas),Assam,12/2020,12/2020,,03/2024,03/2026,430.76,430.76,343.44,91.0,Oil & Gas
373,617836,Coke Drum Structure Package,(Ministry of Petroleum & Natural Gas),Assam,12/2022,12/2022,,12/2025,09/2026,635.28,635.28,172.61,55.0,Oil & Gas
374,709776,Augmentation/Revamping of Facilities at existing Guwahati Terminal at Betkuchi,(MinistryofPetroleumNaturalGas),Assam,04/2022,04/2022,,09/2026,09/2026,277.0,323.09,207.72,78.0,Oil & Gas
375,709779,Capacity Expansion of Digboi Refinery from 0.65 to 1.0 MMTPA,(MinistryofPetroleumNaturalGas),Assam,06/2022,06/2022,,03/2026,07/2027,768.0,740.0,169.13,51.0,Oil & Gas
376,709847,Pipeline Network Project Rudrasagar,(Ministry of Petroleum & Natural Gas),Assam,01/2023,01/2023,,04/2026,04/2026,481.03,481.03,227.47,52.0,Oil & Gas
377,709850,Borholla GGS Life Extension Project [BLEP],(Ministry of Petroleum & Natural Gas),Assam,09/2023,09/2023,,05/2026,05/2026,198.7,198.7,75.38,51.0,Oil & Gas
378,709864,DCU Revamp Project,(NRL),Assam,08/2021,08/2021,,07/2024,06/2026,370.0,370.0,286.89,72.0,Oil & Gas
379,709865,Power Recovery Turbine [PRT] in PFCCU unit as an Energy Conservation Scheme,(NRL),Assam,04/2023,04/2023,,12/2024,09/2026,293.5,293.5,97.24,99.0,Oil & Gas
380,617304,"Setting up of LPG Plant with Rail Unloading Facility at Hathua, Dist. Gopalganj, Bihar",(MinistryofPetroleumNaturalGas),Bihar,10/2023,10/2023,,03/2027,03/2027,340.15,340.15,149.08,42.0,Oil & Gas
381,701324,Barauni Refinery Capacity Expansion from 6.0 to 9.0 MMTPA,(Ministry of Petroleum & Natural Gas),Bihar,01/2020,01/2020,,04/2023,08/2026,14810.0,16724.0,12283.66,90.0,Oil & Gas
382,709777,Installation of Bitumen Manufacturing Unit along with allied facilities at Barauni Refinery,(MinistryofPetroleumNaturalGas),Bihar,01/2022,01/2022,,04/2025,10/2026,389.35,340.0,93.3,56.0,Oil & Gas
383,709792,"City Gas Distribution Projects at Darbhanga, Madhubani, Supaul, Sitamarhi and Sheohar districts",(Bharat Petroleum Corporation Limited [BPCL]),Bihar,12/2022,12/2022,,03/2030,03/2030,3638.0,3638.0,451.75,31.0,Oil & Gas
384,709793,"City Gas Distribution Projects at Gopalganj, Siwan, West Champaran, East Champaran and Deoria districts",(Bharat Petroleum Corporation Limited [BPCL]),Bihar,12/2022,12/2022,,06/2030,06/2030,3919.0,3919.0,494.8,28.0,Oil & Gas
385,617819,"City Gas Distribution [CGD] Project in Kondagaon, Bastar, Sukma, Narayanpur, Bijapur & Dantewada GA",(Ministry of Petroleum & Natural Gas),Chhattisgarh,06/2022,06/2022,,06/2030,06/2030,557.04,557.04,9.11,2.0,Oil & Gas
386,400087,Redevelopment of Sobhasan Complex,(Oil and Natural Gas Corporation Limited [ONGC]),Gujarat,08/2021,08/2021,,03/2027,03/2027,885.63,1347.61,944.04,85.0,Oil & Gas
387,400167,Redevelopment of Santhal Field [Onshore-Mehsana Asset],(Oil and Natural Gas Corporation Limited [ONGC]),Gujarat,02/2017,02/2017,,03/2026,03/2026,1162.56,1162.56,1147.49,95.0,Oil & Gas
388,400169,Redevelopment of Linch Field,(Oil and Natural Gas Corporation Limited [ONGC]),Gujarat,04/2021,04/2021,,03/2025,05/2026,631.03,860.04,600.07,89.0,Oil & Gas
389,701329,Petrochemical and Lube Integration Project at Gujarat Refinery,(Ministry of Petroleum & Natural Gas),Gujarat,09/2020,09/2020,,08/2024,06/2026,18936.0,17825.0,13097.87,87.0,Oil & Gas
390,709778,Installation of new Biturox Unit along with allied facilities at Gujarat Refinery,(MinistryofPetroleumNaturalGas),Gujarat,01/2022,01/2022,,08/2025,09/2026,328.29,287.0,176.91,79.0,Oil & Gas
391,709838,Commercial Polymer Flooding Project in Bechraji field,(Oil and Natural Gas Corporation Limited [ONGC]),Gujarat,01/2022,01/2022,,11/2024,05/2027,621.4,739.02,168.69,31.0,Oil & Gas
392,709840,"Restoration of Gas Terminal, Phase-I [Part-A], Hazira",(Oil and Natural Gas Corporation Limited [ONGC]),Gujarat,05/2022,05/2022,,02/2025,04/2026,249.43,249.43,210.45,96.0,Oil & Gas
393,709841,Old Pipe Line Replacement [OPRP] Group-A,(Oil and Natural Gas Corporation Limited [ONGC]),Gujarat,07/2021,07/2021,,07/2025,03/2026,173.03,169.84,160.38,92.0,Oil & Gas
394,709842,"Kalol Redevelopment Project, Ahmedabad Asset",(Oil and Natural Gas Corporation Limited [ONGC]),Gujarat,08/2022,08/2022,,03/2027,03/2027,1487.41,1487.41,940.0,63.0,Oil & Gas
395,709845,"Revamping of SV Stations, Gas Terminal & Kribhco Terminal",(Oil and Natural Gas Corporation Limited [ONGC]),Gujarat,11/2022,11/2022,,08/2026,08/2026,837.34,837.34,377.32,63.0,Oil & Gas
396,604853,"Indian Oil Technology Development and Deployment Centre at R&D Campus-II, Faridabad",(Ministry of Petroleum & Natural Gas),Haryana,06/2019,06/2019,,12/2022,10/2026,2281.94,3200.0,1846.17,64.0,Oil & Gas
397,611917,Poly Butadiene Rubber plant at Panipat,(Indian Oil Corporation Limited [IOCL]),Haryana,03/2022,03/2022,,03/2025,06/2026,1459.0,2531.44,1447.65,83.0,Oil & Gas
398,619196,Change of service of existing Mundra-Panipat Pipeline [Panipat - Churwa section] from Crude oil to Product,(IOCL),Haryana,05/2025,05/2025,,03/2027,-,359.0,359.0,8.49,24.0,Oil & Gas
399,701289,Capacity Expansion of Panipat Refinery from 15 to 25 MMTPA,(Ministry of Petroleum & Natural Gas),Haryana,02/2021,02/2021,,09/2024,06/2026,34627.0,36225.0,26027.54,92.0,Oil & Gas
400,709783,"Installation of Multiple Effect Evaporator [MEE] for ETP-1, 2 & 4 of Panipat Refinery and Petrochemical Complex.",(MinistryofPetroleumNaturalGas),Haryana,12/2020,12/2020,,06/2023,06/2026,165.13,247.69,169.65,83.0,Oil & Gas
401,709773,"City Gas Distribution Project at Jammu, Udhampur, Reasi, Samba and Kathua Districts",(MinistryofPetroleumNaturalGas),Jammu and Kashmir,03/2022,03/2022,,03/2032,03/2032,538.0,538.0,4.29,0.0,Oil & Gas
402,610984,Development of Jharia CBM Block [Phase-1],(Oil and Natural Gas Corporation Limited [ONGC]),Jharkhand,11/2019,11/2019,,01/2024,03/2026,431.0,431.0,242.78,63.0,Oil & Gas
403,709785,Laying of Natural Gas Pipeline from Hazaribagh to Ranchi [HRPL],(MinistryofPetroleumNaturalGas),Jharkhand,02/2023,02/2023,,02/2026,03/2027,202.07,202.07,63.42,50.0,Oil & Gas
404,612790,Power System Upgradation Project,(Mangalore Refinary and Petrochemicals Limited),Karnataka,10/2023,10/2023,,11/2025,05/2026,385.0,385.0,187.45,77.0,Oil & Gas
405,616879,Demo Bio-ATF Project,(Ministry of Petroleum & Natural Gas),Karnataka,03/2024,03/2024,,01/2027,01/2027,364.0,364.0,59.78,40.0,Oil & Gas
406,709774,Revamping/ Augmentation of facilities at existing port terminal at Mangalore,(Ministry of Petroleum & Natural Gas),Karnataka,01/2022,01/2022,,12/2025,06/2027,463.0,500.62,293.54,81.0,Oil & Gas
407,617838,Augmentation of CCKPL and IDPL Pipelines capacity along with setting up of Palakkad TOP,(Ministry of Petroleum & Natural Gas),Kerala,09/2024,09/2024,,08/2028,08/2028,1130.0,1130.0,232.26,29.0,Oil & Gas
408,709799,Setting up Polypropylene Unit at Kochi Refinery,(MinistryofPetroleumNaturalGas),Kerala,12/2023,12/2023,,10/2027,10/2027,4460.0,4460.0,583.96,25.0,Oil & Gas
409,617830,C2/C3 Vijaipur Pata Pipeline,(Ministry of Petroleum & Natural Gas),Madhya Pradesh,05/2024,05/2024,,01/2027,01/2027,1792.0,1792.0,448.0,55.0,Oil & Gas
410,709798,Ethylene Cracker Project at Bina Refinery including downstream Petrochemical Plants and expansion of Refinery,(MinistryofPetroleumNaturalGas),Madhya Pradesh,05/2023,05/2023,,05/2028,05/2028,43367.0,43367.0,2940.4,21.0,Oil & Gas
411,400168,"500 KTA PDHPP Project, Usar",(Ministry of Petroleum & Natural Gas),Maharashtra,04/2021,04/2021,,04/2025,04/2027,8797.0,11256.0,7750.46,89.0,Oil & Gas
412,616933,Lube Modernization & Bottom Upgradation Project at Mumbai Refinery,(Ministry of Petroleum and Natural Gas),Maharashtra,12/2024,12/2024,,03/2028,03/2028,4679.0,4679.0,243.55,9.0,Oil & Gas
413,619223,Petro Resid Fluidized Catalytic Cracking [PRFCC] Unit and its associated facilities at Mumbai Refinery,(Ministry of Petroleum & Natural Gas),Maharashtra,05/2025,05/2025,,09/2029,-,13626.0,13626.0,26.2,3.0,Oil & Gas
414,619224,Augmentation of DUPL-DPPL Pipeline,(Ministry of Petroleum & Natural Gas),Maharashtra,06/2025,06/2025,,03/2028,-,844.0,844.0,0.0,0.0,Oil & Gas
415,619225,Installation of Compression facility at GAIL Usar,(Ministry of Petroleum & Natural Gas),Maharashtra,04/2025,04/2025,,04/2027,-,260.2,260.2,0.0,0.0,Oil & Gas
416,709760,HP TDAE Unit in Mumbai Refinery,(Hindustan Petroleum Corporation Limited),Maharashtra,06/2024,06/2024,,04/2026,04/2026,240.0,240.0,103.57,75.0,Oil & Gas
417,709771,"City Gas Distribution Project at Beed, Jalgaon and Jalna Districts",(MinistryofPetroleumNaturalGas),Maharashtra,03/2022,03/2022,,09/2031,09/2031,865.0,865.0,77.96,3.0,Oil & Gas
418,709780,Construction of Additional Tankages and Allied Facilities at JNPT Terminal,(MinistryofPetroleumNaturalGas),Maharashtra,04/2022,04/2022,,08/2026,08/2026,341.43,436.14,290.82,65.0,Oil & Gas
419,709782,ATF Pipeline from Jawaharlal Nehru Port Trust to Navi Mumbai International Airport,(Indian Oil Corporation Limited [IOCL]),Maharashtra,08/2022,08/2022,,08/2025,03/2026,165.0,165.0,96.16,94.0,Oil & Gas
420,709797,POL & LOBS Installations with Receipt Pipelines at Rasayani,(Bharat Petroleum Corporation Limited [BPCL]),Maharashtra,05/2023,05/2023,,05/2026,05/2026,2585.0,2585.0,1093.53,77.0,Oil & Gas
421,709846,Part Replacement Pipeline Project [PRPP],(Oil and Natural Gas Corporation Limited [ONGC]),Maharashtra,11/2022,11/2022,,05/2024,03/2026,1219.48,1145.1,820.4,97.0,Oil & Gas
422,616254,Visakh Raipur Pipeline Project,(Ministry of Petroleum and Natural Gas),"Multi-States (Andhra Pradesh, Chhattisgarh, Odisha)",09/2024,09/2024,,09/2027,09/2027,2212.0,2212.0,320.63,29.0,Oil & Gas
423,701346,North East Gas Grid,(Ministry of Petroleum & Natural Gas),"Multi-States (Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim, Tripura, West Bengal)",04/2020,04/2020,,03/2024,03/2026,9265.0,9265.0,6689.0,87.0,Oil & Gas
424,617827,"Pipeline Rehabilitation Project, Phase-II",(Ministry of Petroleum & Natural Gas),"Multi-States (Assam, Bihar, West Bengal)",12/2024,12/2024,,12/2029,12/2029,680.0,680.0,2.93,18.0,Oil & Gas
425,701350,Upgradation of Facilities of Numaligarh-Siliguri Product Pipeline [NSPL] for transportation of additional products from existing 1.72 MMTPA to 5.5 MMTPA,(Ministry of Petroleum & Natural Gas),"Multi-States (Assam, West Bengal)",06/2021,06/2021,,12/2024,03/2026,860.0,860.0,636.92,99.0,Oil & Gas
426,709757,"CGD Project in Banka, Dumka, Godda, Jamtara, Pakur, Sahibganj GA ID 11A.02",(Hindustan Petroleum Corporation Limited),"Multi-States (Bihar, Jharkhand)",06/2022,06/2022,,06/2030,06/2030,1377.0,1377.0,363.98,34.0,Oil & Gas
